Class,Question,Answer
Animal,เคย์แมนกินอะไร,กินสัตว์น้ำ เช่นปลา แมลง หอยทาก
Animal,เคย์แมนกินไรอ่ะ,กินสัตว์น้ำ เช่นปลา แมลง หอยทาก
Animal,เคย์แมนกินราย,กินสัตว์น้ำ เช่นปลา แมลง หอยทาก
Animal,เคย์แมนกินไอไหร,กินสัตว์น้ำ เช่นปลา แมลง หอยทาก
Animal,เคย์แมนกินไร,กินสัตว์น้ำ เช่นปลา แมลง หอยทาก
Animal,ตะโขง,ที่นี่มีตะโขงค่ะ
Animal,มีตะโขงไหม,ที่นี่มีตะโขงค่ะ
Animal,มีตะโขงไหมอ่ะ,ที่นี่มีตะโขงค่ะ
Animal,มีตะโขงไหมหรือเปล่า,ที่นี่มีตะโขงค่ะ
Animal,มีตะโขงป้ะ,ที่นี่มีตะโขงค่ะ
Animal,ตะโขงกินอะไร,กินปลาและสัตว์น้ำขนาดเล็ก
Animal,ตะโขงกินไรอ่ะ,กินปลาและสัตว์น้ำขนาดเล็ก
Animal,ตะโขงกินราย,กินปลาและสัตว์น้ำขนาดเล็ก
Animal,ตะโขงกินไอไหร,กินปลาและสัตว์น้ำขนาดเล็ก
Animal,ตะโขงกินไร,กินปลาและสัตว์น้ำขนาดเล็ก
Animal,งูเขียวหางไหม้ตาโต,ที่นี่มีงูเขียวหางไหม้ตาโตค่ะ
Animal,มีงูเขียวหางไหม้ตาโตไหม,ที่นี่มีงูเขียวหางไหม้ตาโตค่ะ
Animal,มีงูเขียวหางไหม้ตาโตไหมอ่ะ,ที่นี่มีงูเขียวหางไหม้ตาโตค่ะ
Animal,มีงูเขียวหางไหม้ตาโตไหมหรือเปล่า,ที่นี่มีงูเขียวหางไหม้ตาโตค่ะ
Animal,มีงูเขียวหางไหม้ตาโตป้ะ,ที่นี่มีงูเขียวหางไหม้ตาโตค่ะ
Animal,งูเขียวหางไหม้ตาโตกินอะไร,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ตาโตกินไรอ่ะ,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ตาโตกินราย,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ตาโตกินไอไหร,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ตาโตกินไร,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ท้องเหลือง,ที่นี่มีงูเขียวหางไหม้ท้องเหลืองค่ะ
Animal,มีงูเขียวหางไหม้ท้องเหลืองไหม,ที่นี่มีงูเขียวหางไหม้ท้องเหลืองค่ะ
Animal,มีงูเขียวหางไหม้ท้องเหลืองไหมอ่ะ,ที่นี่มีงูเขียวหางไหม้ท้องเหลืองค่ะ
Animal,มีงูเขียวหางไหม้ท้องเหลืองไหมหรือเปล่า,ที่นี่มีงูเขียวหางไหม้ท้องเหลืองค่ะ
Animal,มีงูเขียวหางไหม้ท้องเหลืองป้ะ,ที่นี่มีงูเขียวหางไหม้ท้องเหลืองค่ะ
Animal,งูเขียวหางไหม้ท้องเหลืองกินอะไร,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ท้องเหลืองกินไรอ่ะ,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ท้องเหลืองกินราย,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ท้องเหลืองกินไอไหร,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,งูเขียวหางไหม้ท้องเหลืองกินไร,กินสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก และนก
Animal,ตะพาบม่านลาย,ที่นี่มีตะพาบม่านลายค่ะ
Animal,มีตะพาบม่านลายไหม,ที่นี่มีตะพาบม่านลายค่ะ
Animal,มีตะพาบม่านลายไหมอ่ะ,ที่นี่มีตะพาบม่านลายค่ะ
Animal,มีตะพาบม่านลายไหมหรือเปล่า,ที่นี่มีตะพาบม่านลายค่ะ
Animal,มีตะพาบม่านลายป้ะ,ที่นี่มีตะพาบม่านลายค่ะ
Animal,ตะพาบม่านลายกินอะไร,ชอบกินกบ เขียด ปู กุ้ง ปลา
Animal,ตะพาบม่านลายกินไรอ่ะ,ชอบกินกบ เขียด ปู กุ้ง ปลา
Animal,ตะพาบม่านลายกินราย,ชอบกินกบ เขียด ปู กุ้ง ปลา
Animal,ตะพาบม่านลายกินไอไหร,ชอบกินกบ เขียด ปู กุ้ง ปลา
Animal,ตะพาบม่านลายกินไร,ชอบกินกบ เขียด ปู กุ้ง ปลา
Animal,งูเห่าไทย,ที่นี่มีงูเห่าไทยค่ะ
Animal,มีงูเห่าไทยไหม,ที่นี่มีงูเห่าไทยค่ะ
Animal,มีงูเห่าไทยไหมอ่ะ,ที่นี่มีงูเห่าไทยค่ะ
Animal,มีงูเห่าไทยไหมหรือเปล่า,ที่นี่มีงูเห่าไทยค่ะ
Animal,มีงูเห่าไทยป้ะ,ที่นี่มีงูเห่าไทยค่ะ
Animal,งูเห่าไทยกินอะไร,กินนก หนู กบ เขียด ลูกไก่ แม้กระทั่งงู แบะชอบกินคางคกเป็นพิเศษ
Animal,งูเห่าไทยกินไรอ่ะ,กินนก หนู กบ เขียด ลูกไก่ แม้กระทั่งงู แบะชอบกินคางคกเป็นพิเศษ
Animal,งูเห่าไทยกินราย,กินนก หนู กบ เขียด ลูกไก่ แม้กระทั่งงู แบะชอบกินคางคกเป็นพิเศษ
Animal,งูเห่าไทยกินไอไหร,กินนก หนู กบ เขียด ลูกไก่ แม้กระทั่งงู แบะชอบกินคางคกเป็นพิเศษ
Animal,งูเห่าไทยกินไร,กินนก หนู กบ เขียด ลูกไก่ แม้กระทั่งงู แบะชอบกินคางคกเป็นพิเศษ
Animal,งูแสงอาทิตย์,ที่นี่มีงูแสงอาทิตย์ค่ะ
Animal,มีงูแสงอาทิตย์ไหม,ที่นี่มีงูแสงอาทิตย์ค่ะ
Animal,มีงูแสงอาทิตย์ไหมอ่ะ,ที่นี่มีงูแสงอาทิตย์ค่ะ
Animal,มีงูแสงอาทิตย์ไหมหรือเปล่า,ที่นี่มีงูแสงอาทิตย์ค่ะ
Animal,มีงูแสงอาทิตย์ป้ะ,ที่นี่มีงูแสงอาทิตย์ค่ะ
Animal,งูแสงอาทิตย์กินอะไร,กินนก หนู กบ เขียด ลูกไก่ หรือแม้กระทั่งงูเห่าที่มีขนาดเล็กกว่า
Animal,งูแสงอาทิตย์กินไรอ่ะ,กินนก หนู กบ เขียด ลูกไก่ หรือแม้กระทั่งงูเห่าที่มีขนาดเล็กกว่า
Animal,งูแสงอาทิตย์กินราย,กินนก หนู กบ เขียด ลูกไก่ หรือแม้กระทั่งงูเห่าที่มีขนาดเล็กกว่า
Animal,งูแสงอาทิตย์กินไอไหร,กินนก หนู กบ เขียด ลูกไก่ หรือแม้กระทั่งงูเห่าที่มีขนาดเล็กกว่า
Animal,งูแสงอาทิตย์กินไร,กินนก หนู กบ เขียด ลูกไก่ หรือแม้กระทั่งงูเห่าที่มีขนาดเล็กกว่า
Animal,เต่าจมูกหมู,ที่นี่มีเต่าจมูกหมูค่ะ
Animal,มีเต่าจมูกหมูไหม,ที่นี่มีเต่าจมูกหมูค่ะ
Animal,มีเต่าจมูกหมูไหมอ่ะ,ที่นี่มีเต่าจมูกหมูค่ะ
Animal,มีเต่าจมูกหมูไหมหรือเปล่า,ที่นี่มีเต่าจมูกหมูค่ะ
Animal,มีเต่าจมูกหมูป้ะ,ที่นี่มีเต่าจมูกหมูค่ะ
Animal,เต่าจมูกหมูกินอะไร,กินทั้งพืชและสัตว์ แต่ชอบกินพืชมากกว่าสัตว์ มักจะกินผลไม้และใบไม้จากมะเดื่อป่าและพืชอื่น ๆ ที่เติบโตตามแนวฝั่งแม่น้ำ
Animal,เต่าจมูกหมูกินไรอ่ะ,กินทั้งพืชและสัตว์ แต่ชอบกินพืชมากกว่าสัตว์ มักจะกินผลไม้และใบไม้จากมะเดื่อป่าและพืชอื่น ๆ ที่เติบโตตามแนวฝั่งแม่น้ำ
Animal,เต่าจมูกหมูกินราย,กินทั้งพืชและสัตว์ แต่ชอบกินพืชมากกว่าสัตว์ มักจะกินผลไม้และใบไม้จากมะเดื่อป่าและพืชอื่น ๆ ที่เติบโตตามแนวฝั่งแม่น้ำ
Animal,เต่าจมูกหมูกินไอไหร,กินทั้งพืชและสัตว์ แต่ชอบกินพืชมากกว่าสัตว์ มักจะกินผลไม้และใบไม้จากมะเดื่อป่าและพืชอื่น ๆ ที่เติบโตตามแนวฝั่งแม่น้ำ
Animal,เต่าจมูกหมูกินไร,กินทั้งพืชและสัตว์ แต่ชอบกินพืชมากกว่าสัตว์ มักจะกินผลไม้และใบไม้จากมะเดื่อป่าและพืชอื่น ๆ ที่เติบโตตามแนวฝั่งแม่น้ำ
Animal,เต่ากระอาน,ที่นี่มีเต่ากระอานค่ะ
Animal,มีเต่ากระอานไหม,ที่นี่มีเต่ากระอานค่ะ
Animal,มีเต่ากระอานไหมอ่ะ,ที่นี่มีเต่ากระอานค่ะ
Animal,มีเต่ากระอานไหมหรือเปล่า,ที่นี่มีเต่ากระอานค่ะ
Animal,มีเต่ากระอานป้ะ,ที่นี่มีเต่ากระอานค่ะ
Animal,เต่ากระอานกินอะไร,กินทั้งพืชและสัตว์ แต่ส่วนใหญ่อาหารจะประกอบด้วยผักและผลไม้
Animal,เต่ากระอานกินไรอ่ะ,กินทั้งพืชและสัตว์ แต่ส่วนใหญ่อาหารจะประกอบด้วยผักและผลไม้
Animal,เต่ากระอานกินราย,กินทั้งพืชและสัตว์ แต่ส่วนใหญ่อาหารจะประกอบด้วยผักและผลไม้
Animal,เต่ากระอานกินไอไหร,กินทั้งพืชและสัตว์ แต่ส่วนใหญ่อาหารจะประกอบด้วยผักและผลไม้
Animal,เต่ากระอานกินไร,กินทั้งพืชและสัตว์ แต่ส่วนใหญ่อาหารจะประกอบด้วยผักและผลไม้
Animal,เต่าแก้มแดง,ที่นี่มีเต่าแก้มแดงค่ะ
Animal,มีเต่าแก้มแดงไหม,ที่นี่มีเต่าแก้มแดงค่ะ
Animal,มีเต่าแก้มแดงไหมอ่ะ,ที่นี่มีเต่าแก้มแดงค่ะ
Animal,มีเต่าแก้มแดงไหมหรือเปล่า,ที่นี่มีเต่าแก้มแดงค่ะ
Animal,มีเต่าแก้มแดงป้ะ,ที่นี่มีเต่าแก้มแดงค่ะ
Animal,เต่าแก้มแดงกินอะไร,กินทั้งพืชและสัตว์ พืช ผัก ผลไม้ สัตว์ขนาดเล็ก และซากสัตว์
Animal,เต่าแก้มแดงกินไรอ่ะ,กินทั้งพืชและสัตว์ พืช ผัก ผลไม้ สัตว์ขนาดเล็ก และซากสัตว์
Animal,เต่าแก้มแดงกินราย,กินทั้งพืชและสัตว์ พืช ผัก ผลไม้ สัตว์ขนาดเล็ก และซากสัตว์
Animal,เต่าแก้มแดงกินไอไหร,กินทั้งพืชและสัตว์ พืช ผัก ผลไม้ สัตว์ขนาดเล็ก และซากสัตว์
Animal,เต่าแก้มแดงกินไร,กินทั้งพืชและสัตว์ พืช ผัก ผลไม้ สัตว์ขนาดเล็ก และซากสัตว์
